DT_CODE,Area_Name,Age,Total_P,Total_M,Total_F,Rural,Rural_M,Rural_F,Urban,Urban_M,Urban_F
487,District - Narmada (20),4,11604,5957,5647,10693,5454,5239,911,503,408
488,District - Bharuch (21),4,26459,13756,12703,18146,9344,8802,8313,4412,3901
489,District - The Dangs (22),4,6225,3122,3103,5803,2911,2892,422,211,211
490,District - Navsari   (23),4,19690,10234,9456,13684,7034,6650,6006,3200,2806
491,District - Valsad (24),4,32516,16963,15553,21707,11242,10465,10809,5721,5088
492,District - Surat (25),4,106451,57547,48904,20628,10682,9946,85823,46865,38958
493,District - Tapi (26),4,13033,6587,6446,11747,5914,5833,1286,673,613
468,District - Kachchh (01),5,49113,25941,23172,34097,17947,16150,15016,7994,7022
469,District - Banas Kantha (02),5,80252,42603,37649,71653,37822,33831,8599,4781,3818
470,District - Patan   (03),5,28950,15693,13257,23812,12795,11017,5138,2898,2240
471,District - Mahesana (04),5,36857,20513,16344,28434,15691,12743,8423,4822,3601
472,District - Sabar Kantha (05),5,50265,26883,23382,43585,23211,20374,6680,3672,3008
473,District - Gandhinagar (06),5,25181,14003,11178,14782,8176,6606,10399,5827,4572
474,District - Ahmadabad (07),5,128463,70666,57797,24609,13205,11404,103854,57461,46393
475,District - Surendranagar (08),5,37465,19815,17650,28731,15059,13672,8734,4756,3978
476,District - Rajkot (09),5,67097,36671,30426,28968,15553,13415,38129,21118,17011
477,District - Jamnagar (10),5,41641,22215,19426,23698,12584,11114,17943,9631,8312
478,District - Porbandar  (11),5,10554,5618,4936,5684,2975,2709,4870,2643,2227
479,District - Junagadh (12),5,49541,26447,23094,34008,18136,15872,15533,8311,7222
480,District - Amreli (13),5,27543,14841,12702,20762,11134,9628,6781,3707,3074
481,District - Bhavnagar (14),5,59365,31899,27466,37349,19811,17538,22016,12088,9928
482,District - Anand   (15),5,37442,20428,17014,26842,14662,12180,10600,5766,4834
483,District - Kheda (16),5,43899,23779,20120,34810,18833,15977,9089,4946,4143
484,District - Panch Mahals (17),5,53401,27877,25524,46897,24446,22451,6504,3431,3073
485,District - Dohad   (18),5,61377,31717,29660,57344,29638,27706,4033,2079,1954
486,District - Vadodara (19),5,76061,40583,35478,43717,22984,20733,32344,17599,14745
487,District - Narmada (20),5,11723,6149,5574,10780,5656,5124,943,493,450
